name,value,baseline,sub_activities
Pátio de Alimentação,0,100,Retirar Bloqueio Elétrico do Pátio de Finos:0|100; Realizar Calibração de Equipamentos:0|100; Realizar Teste Operacional do Pátio de Finos:0|100; Encher Silo 1SM2SI:0|100
Torre de Refriamento,0,100,Retirar Bloqueio da Torre TR301TR Forno  Ventiladores:0|100; Remover Mangotes de Água da Alimentação do Supervisório do CCO 1 e 4:0|100; Encher Torre TR301TR Forno  Ventiladores:0|100
Secagem,0,0,Retirar Bloqueio Elétrico da Secagem:0|0; Realizar Testes Operacionais nos Filtros de Manga:0|0; Realizar Testes Operacionais nos Queimadores GGQ:0|0
Mistura,0,100,Retirar Bloqueio Elétrico da Mistura:0|100; Realizar Calibração das Balanças da Mistura:0|100; Realizar Teste Operacional da Mistura:0|100
Briquetagem,0,100,Retirar Bloqueio Elétrico da Briquetagem:0|100; Conferir Alinhamento dos Rolos :0|100; Calibrar GAP dos Rolos de Briquetagem:0|100; Realizar Zero dos Silos AG100SI  AG101SI  AG102SI:0|100; Realizar Calibração das Balanças das Briquetadoras AG70BD  AG73BD  AG76BD:0|100; Realizar Calibração do Circuito de Produção AG31 e AG35:0|100; Teste Operacional da Briquetagem em Vazio:0|100
Forno,0,"4,77",Retirar Bloqueios do Forno:0|100; Recolocar Carros de Grelha na Região Superior 58 Carros:0|4; Recolocar Carros de Grelha na Região Inferior 71:0|0; Reposicionar Proteções Laterais  Corrimão ao Longo do Forno e Baixar Selagens Superiores Selagem Móvel:0|0; Rodar Circuito da Grelha Vazia 1 Voltas - Realizar Forces Necessários para a Atividade:0|0
Retorno da Produção,0,0,Retornar Produção da Mistura BV100SI  BV101SI  AZ101SI  AZ102SI:0|0; Encher Silos AG100SI  AG101SI  AG102SI e Retornar a Produção de Briquete para Encher a Grelha:0|0; Preencher a Grelha para Iniciar Aquecimento 2 briquetadeiras e circuito da emergência :0|0; Realizar Procedimento para Retorno da NR20 na Região do Forno:0|0; Ligar Queimador GGQ e Realizar Aquecimento do Secador:0|0; Retornar Produção do Secador:0|0; Realizar Aquecimento até 490 °C:0|0
Ventiladores,0,100,AH33 - Queima para Secagem Descendente:0|100; AH30 - Resfriamento:0|100; AH93 e AH94 - Atomizadores:0|100; AR81 - Ambiental:0|100; AH34 - Secagem Descendente para PP AR1:0|100; AH47 - Secagem Ascendente para PP AR40:0|100
Teste Operacional dos Ventiladores,0,25,Teste Operacional AR81:0|100; Teste Operacional AH93 e AH94:0|50; Teste Operacional AH30:0|0; Teste Operacional AH33:0|0; Teste Operacional AH34:0|0; Teste Operacional AH47:0|0
Precipitadores,"8,99",100,"AR80:0|100; AR40:11,11|100; AR1:11,11|100"
Peneiramento,0,100,Retirar Bloqueio do Circuito de Emergência:0|100; Retirar Bloqueio do Circuito de Finos:0|100; Retirar Bloqueio da Peneira AH13PV:0|100; Realizar Teste da Peneira AH13PV:0|100
Pátio de Briquete,0,100,Retirar Bloqueio do Pátio de Briquete:0|100; Calibrar Balança:0|100; Teste Operacional do Circuito do Pátio de Briquete:0|100
